Price,SquareFootage,Bedrooms,Bathrooms,GarageSize,City
200000,850,2,1,1,Mumbai
250000,900,2,1,1,Delhi
300000,1100,3,2,1,Mumbai
450000,1500,3,2,2,Chennai
500000,1600,4,3,2,Delhi
1200000,3000,5,4,3,Mumbai
700000,2000,4,3,2,Chennai
800000,2200,4,3,2,Delhi
150000,750,1,1,0,Chennai
950000,2500,5,4,3,Mumbai
400000,1300,3,2,1,Delhi
600000,1800,4,3,2,Mumbai
350000,1200,3,2,1,Chennai
1000000,2700,5,4,3,Mumbai
275000,950,2,1,1,Delhi
320000,1150,3,2,1,Chennai
520000,1700,4,3,2,Delhi
680000,1900,4,3,2,Mumbai
720000,2100,4,3,2,Chennai
1100000,2800,5,4,3,Mumbai
